Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,F1 Macro,macro avg precision,macro avg recall,macro avg f1,macro avg support,weighted avg precision,weighted avg recall,weighted avg f1,weighted avg support,angry_f1,angry_precision,angry_recall,angry_support,calm_f1,calm_precision,calm_recall,calm_support,disgust_f1,disgust_precision,disgust_recall,disgust_support,fear_f1,fear_precision,fear_recall,fear_support,happy_f1,happy_precision,happy_recall,happy_support,neutral_f1,neutral_precision,neutral_recall,neutral_support,sad_f1,sad_precision,sad_recall,sad_support,surprise_f1,surprise_precision,surprise_recall,surprise_support
24,72.69,60.41,0.6302,1.1162,0.6045,0.6041,0.6081,0.6021,0.6607,0.6081,17031.0,0.6198,0.6041,0.6045,17031.0,0.722,0.6933,0.7532,2695,0.501,0.3372,0.9737,266,0.5371,0.5908,0.4924,2695,0.5363,0.4736,0.6182,2695,0.5528,0.6603,0.4753,2695,0.6486,0.6601,0.6374,2380,0.5858,0.6177,0.557,2695,0.781,0.7841,0.778,910
25,74.54,60.99,0.5904,1.0992,0.6087,0.6099,0.6113,0.596,0.668,0.6113,17031.0,0.619,0.6099,0.6087,17031.0,0.7316,0.7235,0.7399,2695,0.5091,0.3475,0.9511,266,0.5437,0.5097,0.5826,2695,0.5382,0.6104,0.4813,2695,0.5791,0.6048,0.5555,2695,0.6475,0.6133,0.6857,2380,0.573,0.6475,0.5139,2695,0.7678,0.7113,0.8341,910
26,75.85,61.02,0.5572,1.2408,0.6078,0.6102,0.6102,0.604,0.6596,0.6102,17031.0,0.6251,0.6102,0.6078,17031.0,0.73,0.7448,0.7158,2695,0.4948,0.343,0.8872,266,0.5355,0.6187,0.472,2695,0.5383,0.6185,0.4764,2695,0.5596,0.6475,0.4928,2695,0.6374,0.5694,0.7239,2380,0.6003,0.5261,0.6987,2695,0.7861,0.7637,0.8099,910
27,77.19,61.12,0.5303,1.211,0.61,0.6112,0.6132,0.5938,0.6646,0.6132,17031.0,0.6148,0.6112,0.61,17031.0,0.7227,0.7122,0.7336,2695,0.5205,0.3652,0.906,266,0.5418,0.5407,0.5429,2695,0.5415,0.5842,0.5046,2695,0.5753,0.5952,0.5566,2695,0.6449,0.6308,0.6597,2380,0.5946,0.6246,0.5673,2695,0.7646,0.6975,0.8462,910
28,78.38,60.89,0.5009,1.2714,0.607,0.6089,0.6128,0.5996,0.6527,0.6128,17031.0,0.6131,0.6089,0.607,17031.0,0.7249,0.6903,0.7633,2695,0.5244,0.3792,0.8496,266,0.5413,0.5488,0.534,2695,0.5348,0.5406,0.5291,2695,0.5726,0.6134,0.5369,2695,0.6478,0.601,0.7025,2380,0.5743,0.6525,0.5128,2695,0.7822,0.7714,0.7934,910
29,79.3,60.6,0.4817,1.3254,0.6055,0.606,0.6117,0.5998,0.6535,0.6117,17031.0,0.6181,0.606,0.6055,17031.0,0.7219,0.7339,0.7102,2695,0.5476,0.4032,0.8534,266,0.547,0.6159,0.492,2695,0.5416,0.4793,0.6226,2695,0.5531,0.6556,0.4783,2695,0.6443,0.6554,0.6336,2380,0.5855,0.5723,0.5993,2695,0.7528,0.6831,0.8385,910
30,80.19,61.14,0.4594,1.3857,0.6092,0.6114,0.6164,0.6054,0.6459,0.6164,17031.0,0.6156,0.6114,0.6092,17031.0,0.7253,0.6971,0.7558,2695,0.5561,0.4315,0.782,266,0.5482,0.5284,0.5696,2695,0.5427,0.557,0.5291,2695,0.5632,0.6667,0.4876,2695,0.6492,0.5986,0.7092,2380,0.5852,0.6183,0.5555,2695,0.7613,0.7453,0.778,910
31,80.89,60.88,0.4382,1.4755,0.6051,0.6088,0.6165,0.608,0.6522,0.6165,17031.0,0.6188,0.6088,0.6051,17031.0,0.726,0.735,0.7173,2695,0.5729,0.4404,0.8195,266,0.5426,0.6206,0.482,2695,0.5238,0.6192,0.4538,2695,0.563,0.6285,0.5098,2695,0.638,0.5676,0.7282,2380,0.5851,0.5126,0.6816,2695,0.7803,0.7399,0.8253,910
32,81.5,61.11,0.43,1.4529,0.6093,0.6111,0.6187,0.606,0.6448,0.6187,17031.0,0.6126,0.6111,0.6093,17031.0,0.711,0.6655,0.7633,2695,0.5702,0.4525,0.7707,266,0.5458,0.5995,0.5009,2695,0.5486,0.5199,0.5807,2695,0.5714,0.5924,0.5518,2695,0.6511,0.6701,0.6332,2380,0.5829,0.6074,0.5603,2695,0.7683,0.7408,0.7978,910
33,82.1,61.89,0.4128,1.501,0.6165,0.6189,0.6227,0.608,0.6525,0.6227,17031.0,0.6189,0.6189,0.6165,17031.0,0.7222,0.6871,0.761,2695,0.5553,0.4328,0.7744,266,0.5588,0.5614,0.5562,2695,0.542,0.601,0.4935,2695,0.5895,0.6252,0.5577,2695,0.6537,0.6256,0.6845,2380,0.5918,0.5921,0.5915,2695,0.7686,0.7386,0.8011,910
