Epoch,Train Acc,Val Acc,Train Loss,Val Loss,F1 Score,accuracy,macro avg_f1,weighted avg_f1,happy_f1,neutral_f1,sad_f1,surprise_f1,fear_f1,disgust_f1,calm_f1,angry_f1,happy_precision,neutral_precision,sad_precision,surprise_precision,fear_precision,disgust_precision,calm_precision,angry_precision,happy_recall,neutral_recall,sad_recall,surprise_recall,fear_recall,disgust_recall,calm_recall,angry_recall,happy_support,neutral_support,sad_support,surprise_support,fear_support,disgust_support,calm_support,angry_support
27,59.06,52.95,1.6358,1.6959,0.517,52.95,0.5112,0.517,0.3998,0.5841,0.5631,0.6118,0.4478,0.4058,0.3866,0.6903,0.5573,0.5057,0.5494,0.5067,0.4797,0.614,0.2418,0.6269,0.3117,0.6912,0.5775,0.7718,0.4199,0.303,0.9649,0.768,1155,1020,1155,390,1155,1155,114,1155
28,59.47,53.53,1.6338,1.6925,0.5255,53.53,0.5183,0.5255,0.4391,0.5881,0.5701,0.6103,0.4408,0.4005,0.3909,0.7064,0.5074,0.5417,0.5124,0.5025,0.5091,0.6301,0.244,0.6727,0.387,0.6431,0.6424,0.7769,0.3887,0.2935,0.9825,0.7437,1155,1020,1155,390,1155,1155,114,1155
29,59.56,53.53,1.63,1.6917,0.5254,53.53,0.5195,0.5254,0.452,0.5806,0.5668,0.6191,0.4411,0.3993,0.3971,0.7001,0.5138,0.5108,0.5457,0.5135,0.4984,0.6364,0.2494,0.6566,0.4035,0.6725,0.5896,0.7795,0.3957,0.2909,0.9737,0.7498,1155,1020,1155,390,1155,1155,114,1155
30,60.05,54.24,1.6277,1.6874,0.5347,54.24,0.527,0.5347,0.4804,0.5828,0.5708,0.6392,0.4384,0.4093,0.3831,0.7121,0.5218,0.5092,0.5169,0.543,0.5519,0.623,0.2374,0.709,0.445,0.6814,0.6372,0.7769,0.3636,0.3048,0.9912,0.7152,1155,1020,1155,390,1155,1155,114,1155
31,60.45,54.19,1.6249,1.6851,0.5312,54.19,0.5238,0.5312,0.4545,0.583,0.5819,0.6328,0.4428,0.415,0.3841,0.6962,0.5791,0.4932,0.556,0.5314,0.5174,0.6385,0.2392,0.6452,0.374,0.7127,0.6104,0.7821,0.387,0.3074,0.9737,0.7558,1155,1020,1155,390,1155,1155,114,1155
32,60.67,55.03,1.6211,1.682,0.5436,55.03,0.5375,0.5436,0.5096,0.5842,0.5739,0.677,0.444,0.4169,0.3868,0.708,0.5391,0.517,0.528,0.5969,0.5355,0.6256,0.2413,0.6953,0.4831,0.6716,0.6286,0.7821,0.3792,0.3126,0.9737,0.7212,1155,1020,1155,390,1155,1155,114,1155
33,61.09,54.47,1.6195,1.6844,0.5371,54.47,0.5297,0.5371,0.5062,0.5784,0.5647,0.6495,0.4358,0.4047,0.3831,0.715,0.5414,0.5275,0.4926,0.558,0.5456,0.6234,0.2396,0.7089,0.4753,0.6402,0.6615,0.7769,0.3628,0.2996,0.9561,0.7212,1155,1020,1155,390,1155,1155,114,1155
34,61.51,54.61,1.6166,1.6849,0.5352,54.61,0.5298,0.5352,0.4764,0.595,0.5782,0.6522,0.4346,0.421,0.3936,0.6877,0.5445,0.5438,0.5341,0.5647,0.5601,0.6045,0.2467,0.6133,0.4234,0.6569,0.6303,0.7718,0.355,0.3229,0.9737,0.7827,1155,1020,1155,390,1155,1155,114,1155
35,61.86,54.83,1.614,1.6792,0.5412,54.83,0.5352,0.5412,0.4986,0.5915,0.5699,0.6667,0.4493,0.4158,0.3889,0.701,0.5639,0.5353,0.5399,0.5867,0.4963,0.6142,0.2424,0.6588,0.4468,0.6608,0.6035,0.7718,0.4104,0.3143,0.9825,0.7489,1155,1020,1155,390,1155,1155,114,1155
36,62.11,55.06,1.6113,1.6795,0.5468,55.06,0.541,0.5468,0.5209,0.5921,0.5565,0.679,0.4527,0.4172,0.3922,0.7171,0.5774,0.5444,0.5297,0.6195,0.45,0.6343,0.2456,0.7048,0.4745,0.649,0.5861,0.7513,0.4554,0.3108,0.9737,0.7299,1155,1020,1155,390,1155,1155,114,1155
37,62.38,55.3,1.6091,1.6794,0.5454,55.3,0.5408,0.5454,0.5047,0.5925,0.569,0.6845,0.4576,0.416,0.3957,0.7061,0.5828,0.5212,0.5552,0.6269,0.4955,0.6118,0.2489,0.6522,0.445,0.6863,0.5835,0.7538,0.4251,0.3152,0.9649,0.7697,1155,1020,1155,390,1155,1155,114,1155
38,62.48,55.31,1.6064,1.6779,0.5457,55.31,0.5396,0.5457,0.506,0.5864,0.5715,0.6742,0.4522,0.422,0.3922,0.7123,0.5707,0.5329,0.5142,0.6032,0.5525,0.5913,0.2456,0.6728,0.4545,0.652,0.6433,0.7641,0.3827,0.3281,0.9737,0.7567,1155,1020,1155,390,1155,1155,114,1155
39,62.81,55.34,1.6052,1.678,0.5482,55.34,0.5412,0.5482,0.5199,0.5824,0.5695,0.6896,0.4511,0.4279,0.3777,0.7114,0.5925,0.5334,0.4971,0.6232,0.544,0.6,0.2338,0.6978,0.4632,0.6412,0.6667,0.7718,0.3853,0.3325,0.9825,0.7255,1155,1020,1155,390,1155,1155,114,1155
40,63.01,55.6,1.6027,1.675,0.5505,55.6,0.5453,0.5505,0.5237,0.5813,0.5762,0.6787,0.447,0.44,0.4059,0.7095,0.5483,0.5231,0.537,0.6073,0.5553,0.5764,0.2564,0.6925,0.5013,0.6539,0.6216,0.7692,0.374,0.3558,0.9737,0.7273,1155,1020,1155,390,1155,1155,114,1155
